specobjid,plateid,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,oi_6300_flux_err,sii_6717_flux_err,sii_6731_flux_err
307430630784788480,273,51957,218,0.1305291,157.5544,-0.6611749,220.3417,56.76338,55.3735,95.9411,12.80354,47.80486,30.03749,-30.38665,-13.69387,3.897835,3.052557,3.331591,3.045254,1.967231,3.24874,5.43394
307430905662695424,273,51957,219,0.08578822,157.8164,-0.6299641,507.3879,109.9969,44.97055,181.3966,13.11224,87.21847,64.27713,-58.39661,-20.79686,5.774273,3.632985,3.126468,3.327992,2.100318,3.103984,2.927229
307431455418509312,273,51957,221,0.1073524,157.6643,-0.3104355,318.0312,91.79651,78.28992,82.21493,13.10174,55.45282,42.61365,-43.97306,-11.44913,4.289757,2.901523,3.07296,2.478657,1.803897,2.417522,2.046431
307434753953392640,273,51957,233,0.05590439,157.7517,-0.627593,354.5292,94.84831,84.98711,109.6569,15.10179,75.14906,55.722,-21.7156,-6.718072,4.92495,3.41873,3.723479,3.118229,2.256827,2.920819,2.689475
307437227854555136,273,51957,242,0.01884725,157.2292,-0.9150085,380.5717,98.6926,108.4524,83.7597,13.23794,83.0878,57.60253,-27.64668,-5.91866,5.064558,3.58104,3.775376,2.496775,2.117428,2.716943,2.446852
307442450534787072,273,51957,261,0.1183102,157.354,-0.1166705,288.4201,46.86753,42.06514,124.9815,13.39814,60.35392,44.31344,-24.15788,-10.51971,4.832906,2.800033,3.176359,3.583162,2.428595,2.820337,2.932806
307442725412694016,273,51957,262,0.07181334,157.2397,-0.1303005,251.4001,77.18211,97.28774,48.26286,8.870503,54.40726,40.39922,-39.20529,-7.544381,3.476651,2.831147,3.2292,1.828134,1.440383,1.980713,1.803589
307447673215019008,273,51957,280,0.1079031,157.3508,-0.4488465,116.9351,38.63155,25.9884,80.26657,26.03848,37.09424,37.7451,-5.2695,-4.011369,6.663237,4.72369,4.642455,5.760722,4.183918,4.768807,4.699331
307453720528971776,273,51957,302,0.1151045,156.7991,-0.3037359,547.9263,121.0334,65.63297,199.5531,12.2099,91.93028,64.13903,-46.15092,-17.10683,6.408747,3.623189,3.955919,3.993073,2.189793,3.025554,2.75185
307459218087110656,273,51957,322,0.02231555,157.1206,1.249867,338.81,96.09777,110.72,65.79633,10.61821,83.56081,54.71424,-28.60189,-5.530192,4.413151,3.324341,3.665756,2.259635,1.957931,3.013625,2.464916
